Cas20713,X,Y,Xc,Yc,Height,Area,Width,Phi,Ax,BG,I,Frame,Length,Link,Valid,Z,Zc
0,183.588162996623,120.803253759185,183.588162996623,120.803253759185,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,133.067117378322,74.7608279569001,133.067117378322,74.7608279569001,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,228.068473174082,222.406748739864,228.068473174082,222.406748739864,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,111.060424129645,115.126678903453,111.060424129645,115.126678903453,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,111.054405197752,115.574751453851,111.054405197752,115.574751453851,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,111.000348809156,115.921687686859,111.000348809156,115.921687686859,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,163.780332847437,131.513473411723,163.780332847437,131.513473411723,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,164.228468361675,129.817042655711,164.228468361675,129.817042655711,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,174.686631801326,125.905518245357,174.686631801326,125.905518245357,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,140.539411793339,80.7686205985963,140.539411793339,80.7686205985963,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,80.4408650207282,16.4231825512314,80.4408650207282,16.4231825512314,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,58.719442689475,64.1201072557453,58.719442689475,64.1201072557453,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,238.641666038087,61.1666499008669,238.641666038087,61.1666499008669,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,174.176220172537,165.231468886398,174.176220172537,165.231468886398,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,233.123179168844,186.296552759486,233.123179168844,186.296552759486,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,229.447149413063,187.098295683032,229.447149413063,187.098295683032,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,98.186604931189,155.135981931084,98.186604931189,155.135981931084,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,97.6787778636352,149.919222640457,97.6787778636352,149.919222640457,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,98.8448143182301,151.38809465479,98.8448143182301,151.38809465479,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,32.3959981052816,21.6823819050439,32.3959981052816,21.6823819050439,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,174.965893985887,33.8302899514677,174.965893985887,33.8302899514677,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,101.618957387537,143.313005494019,101.618957387537,143.313005494019,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,54.8470582601495,170.362737298126,54.8470582601495,170.362737298126,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,77.4358062975457,77.7635673858033,77.4358062975457,77.7635673858033,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,51.0429345425697,196.227051545493,51.0429345425697,196.227051545493,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,90.6012284083095,196.744438380134,90.6012284083095,196.744438380134,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,18.670783910906,37.8022838613109,18.670783910906,37.8022838613109,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,103.413279911723,213.292368965498,103.413279911723,213.292368965498,1000,10000,320,0,1,0,1,1,1,0,1,0,0
0,102.939314721681,230.465783155807,102.939314721681,230.465783155807,1000,10000,320,0,1,0,1,1,1,0,1,0,0
