Cas20713	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
0	140.714151549458	104.651659870901	140.714151549458	104.651659870901	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.828014751833	104.578341329872	141.828014751833	104.578341329872	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.497719177337	103.654447564742	141.497719177337	103.654447564742	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.483602389282	104.837357394078	141.483602389282	104.837357394078	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.967082988575	104.310786455623	140.967082988575	104.310786455623	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.386450796662	104.325851980877	141.386450796662	104.325851980877	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.449313890653	103.895541254297	141.449313890653	103.895541254297	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.35319258806	103.664650195053	141.35319258806	103.664650195053	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.771702056278	104.343156415623	141.771702056278	104.343156415623	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.139794639876	103.708782776575	141.139794639876	103.708782776575	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.720328398257	104.090407116796	140.720328398257	104.090407116796	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.078873052643	103.618612944419	141.078873052643	103.618612944419	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.41191337242	104.723773625264	140.41191337242	104.723773625264	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.717782437692	104.07225334644	140.717782437692	104.07225334644	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.201866891968	104.392319535185	141.201866891968	104.392319535185	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.724002456717	103.263573489668	141.724002456717	103.263573489668	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.858646977617	104.022880132539	141.858646977617	104.022880132539	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.304079892205	103.572309806532	141.304079892205	103.572309806532	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.060883777137	104.8882968454	141.060883777137	104.8882968454	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.452139874442	104.01214585902	140.452139874442	104.01214585902	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.995085285583	103.63162533929	140.995085285583	103.63162533929	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.448773677012	103.689421138081	141.448773677012	103.689421138081	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.288657879669	104.11653669192	141.288657879669	104.11653669192	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.972269678208	103.759944431432	140.972269678208	103.759944431432	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.944071072378	103.060550068481	140.944071072378	103.060550068481	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.593990372529	103.990158352204	140.593990372529	103.990158352204	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.647498003681	104.065718807353	140.647498003681	104.065718807353	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.357058761004	104.297993816729	140.357058761004	104.297993816729	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.283144525422	104.193536606333	141.283144525422	104.193536606333	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.069094799093	103.906883623799	141.069094799093	103.906883623799	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	139.786858580089	104.21013677531	139.786858580089	104.21013677531	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.919352372257	103.433689080176	140.919352372257	103.433689080176	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.567071595648	103.725434919044	140.567071595648	103.725434919044	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.713220751877	104.513010264845	140.713220751877	104.513010264845	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.226472153148	103.819452382448	141.226472153148	103.819452382448	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.333163096311	103.951390048691	141.333163096311	103.951390048691	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.962804255948	103.829978274355	140.962804255948	103.829978274355	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.830766436254	104.062389235161	140.830766436254	104.062389235161	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.489749988077	103.569130072548	141.489749988077	103.569130072548	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.519608550141	104.030591752883	141.519608550141	104.030591752883	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.912834167307	103.866517343269	140.912834167307	103.866517343269	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.433306272028	104.248857125925	140.433306272028	104.248857125925	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.678300618026	104.92456584468	140.678300618026	104.92456584468	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.147990886925	104.165137604221	140.147990886925	104.165137604221	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.41955051283	104.405704002931	141.41955051283	104.405704002931	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.083785860958	103.902878113754	141.083785860958	103.902878113754	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	142.156114739174	103.688132226752	142.156114739174	103.688132226752	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.010899490035	103.962485027417	140.010899490035	103.962485027417	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.813922124126	103.923047297713	140.813922124126	103.923047297713	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.253605225296	104.24633153051	141.253605225296	104.24633153051	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.672850867285	103.384278402517	141.672850867285	103.384278402517	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.828181464467	103.645123534228	140.828181464467	103.645123534228	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.278117492206	104.633442597913	140.278117492206	104.633442597913	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.648035608943	103.700567843001	141.648035608943	103.700567843001	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.600563017523	103.926450403285	140.600563017523	103.926450403285	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.490507496525	103.773875029044	141.490507496525	103.773875029044	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.795139953576	104.43470619115	140.795139953576	104.43470619115	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.209166869161	104.096237462293	141.209166869161	104.096237462293	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.494640785591	104.132085514533	141.494640785591	104.132085514533	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.521892401925	103.573897117422	141.521892401925	103.573897117422	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.91215181379	103.947192749733	140.91215181379	103.947192749733	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.276180731985	103.740063251485	141.276180731985	103.740063251485	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.499600619457	104.458765620899	140.499600619457	104.458765620899	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.709379272752	103.810978802802	140.709379272752	103.810978802802	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.919255288782	103.661960190263	140.919255288782	103.661960190263	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.756481677589	104.876219081193	141.756481677589	104.876219081193	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.540263514185	104.408202708871	140.540263514185	104.408202708871	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.643918642571	104.043797236106	141.643918642571	104.043797236106	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.492227405295	104.541765642466	141.492227405295	104.541765642466	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.72932201741	104.272175161206	141.72932201741	104.272175161206	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.552697108549	103.959683109886	140.552697108549	103.959683109886	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.769917614437	104.459483037272	140.769917614437	104.459483037272	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.503459735293	103.412356219428	140.503459735293	103.412356219428	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.346836527035	104.464975630412	141.346836527035	104.464975630412	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.322041448009	103.134654036001	141.322041448009	103.134654036001	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.207086575351	104.756112747364	141.207086575351	104.756112747364	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.97454863367	104.189314689823	140.97454863367	104.189314689823	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.803326030811	103.976869581277	140.803326030811	103.976869581277	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.560870127754	104.405631645499	141.560870127754	104.405631645499	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.154867664609	104.007388850728	141.154867664609	104.007388850728	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.058669267517	104.378576620121	140.058669267517	104.378576620121	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.681881285927	103.738883757728	140.681881285927	103.738883757728	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.628497464303	104.080865189728	141.628497464303	104.080865189728	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.600854004909	104.219423998374	141.600854004909	104.219423998374	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.725298345812	104.293396963207	140.725298345812	104.293396963207	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.798929731173	103.532045286874	140.798929731173	103.532045286874	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.917237597073	103.587694275078	140.917237597073	103.587694275078	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.066209916343	104.223375631267	141.066209916343	104.223375631267	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.258161949773	103.938252156249	140.258161949773	103.938252156249	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.635033126396	103.348949180768	141.635033126396	103.348949180768	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.044707949241	104.547207955192	141.044707949241	104.547207955192	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	141.335696873185	103.923162859811	141.335696873185	103.923162859811	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	140.820408281874	104.505349190373	140.820408281874	104.505349190373	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.339760905832	120.511339610421	180.339760905832	120.511339610421	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.574805946618	120.273415645377	181.574805946618	120.273415645377	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.279645560627	120.002069826368	181.279645560627	120.002069826368	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.533326607087	119.363425649563	181.533326607087	119.363425649563	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.924694135438	119.768865364291	181.924694135438	119.768865364291	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.310662438835	120.017439282795	182.310662438835	120.017439282795	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	179.620532996507	119.494842491831	179.620532996507	119.494842491831	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.570398704554	120.112711454654	181.570398704554	120.112711454654	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.445156570725	119.844164873117	181.445156570725	119.844164873117	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.648072675106	120.03770184344	181.648072675106	120.03770184344	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.351896407089	120.112898094754	181.351896407089	120.112898094754	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.385169978327	120.2048625092	181.385169978327	120.2048625092	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.048635513901	120.387171455458	182.048635513901	120.387171455458	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.229020552245	120.305982766688	181.229020552245	120.305982766688	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.369206754082	119.896280639229	181.369206754082	119.896280639229	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.630749946038	119.890413830011	181.630749946038	119.890413830011	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.578491705647	120.805409142624	180.578491705647	120.805409142624	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.03406812618	119.71730453305	181.03406812618	119.71730453305	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.988881164018	120.655822232046	180.988881164018	120.655822232046	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.403254402001	120.80025469666	180.403254402001	120.80025469666	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.192277929992	120.40448922756	180.192277929992	120.40448922756	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.788041836583	120.145910190639	180.788041836583	120.145910190639	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.959428711036	119.841997266317	180.959428711036	119.841997266317	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.312208191147	120.158880405925	181.312208191147	120.158880405925	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.382690743885	120.266931434303	181.382690743885	120.266931434303	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.982472589021	120.105948689806	181.982472589021	120.105948689806	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.23869809586	119.727543778116	181.23869809586	119.727543778116	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.465363625289	119.945201845707	182.465363625289	119.945201845707	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.055347100807	119.056261687959	181.055347100807	119.056261687959	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.848965192352	119.513851630522	181.848965192352	119.513851630522	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.449192703297	119.565399168345	181.449192703297	119.565399168345	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.57461742919	120.348007873973	181.57461742919	120.348007873973	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.851973357456	120.475835797287	180.851973357456	120.475835797287	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.386529683301	118.928027012559	182.386529683301	118.928027012559	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.647829675099	119.727058474142	181.647829675099	119.727058474142	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.138097493304	120.785706106997	181.138097493304	120.785706106997	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.318994061203	119.885552749875	181.318994061203	119.885552749875	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.239381322991	120.054252880405	182.239381322991	120.054252880405	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.42994780741	118.510115536839	180.42994780741	118.510115536839	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.847183015373	119.595408286081	180.847183015373	119.595408286081	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.786377929586	120.344412285894	181.786377929586	120.344412285894	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.892459599955	120.210552102637	180.892459599955	120.210552102637	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.702686650631	120.589334883834	181.702686650631	120.589334883834	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.408080509776	121.712265864083	181.408080509776	121.712265864083	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.648214115491	119.763070654979	181.648214115491	119.763070654979	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.385765376402	120.242862780093	181.385765376402	120.242862780093	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.157101999849	119.991968586051	182.157101999849	119.991968586051	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.979966364413	120.06089326045	180.979966364413	120.06089326045	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.46650382732	119.830770917671	181.46650382732	119.830770917671	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.51551181604	120.962840112513	180.51551181604	120.962840112513	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.399771150153	120.487331343972	181.399771150153	120.487331343972	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.232804446665	119.183773545841	181.232804446665	119.183773545841	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.118390096675	120.278613509818	182.118390096675	120.278613509818	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.718671613706	121.111752409045	182.718671613706	121.111752409045	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.173692090493	120.872905217905	180.173692090493	120.872905217905	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	179.955121683012	120.132376167379	179.955121683012	120.132376167379	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.699071440801	118.671941891179	180.699071440801	118.671941891179	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.009075312673	120.598024328336	181.009075312673	120.598024328336	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.641474846276	121.317570281733	181.641474846276	121.317570281733	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.30146973059	120.48681614654	181.30146973059	120.48681614654	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.311910370718	119.967640096126	181.311910370718	119.967640096126	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.160031050746	119.873658566287	181.160031050746	119.873658566287	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	179.991139128178	120.590556496179	179.991139128178	120.590556496179	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.070785826456	119.540913977631	181.070785826456	119.540913977631	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	183.588162996623	120.803253759185	183.588162996623	120.803253759185	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.892795522595	120.04746556627	180.892795522595	120.04746556627	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	182.492341007978	119.100463897885	182.492341007978	119.100463897885	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.055772915759	120.802083575379	181.055772915759	120.802083575379	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.509323942964	119.805727371551	181.509323942964	119.805727371551	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.895703251423	119.682957064154	180.895703251423	119.682957064154	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	180.843166371515	119.558136259995	180.843166371515	119.558136259995	1000	10000	320	0	1	0	1	1	1	0	1	0	0
0	181.164156153269	120.330800103129	181.164156153269	120.330800103129	1000	10000	320	0	1	0	1	1	1	0	1	0	0
